,train_time,dataset,test_acc,inside_labels,nb_epochs,Bayesian prediction STD bal_acc,Bayesian prediction STD bal_acc_threshold,Bayesian prediction STD f1_score,Bayesian prediction STD f1_score_threshold,Bayesian entropy bal_acc,Bayesian entropy bal_acc_threshold,Bayesian entropy f1_score,Bayesian entropy f1_score_threshold
test_mnist_2labels_2_v2,11.397563695907593,mnist,0.9888349514563107,"[2, 7]",25.0,0.7497217164867813,2.412028207618007e-06,0.7651252097189833,6.650018030431118e-06,0.7495337267058562,1.2856096069432964e-05,0.7644806439573422,0.0001259215613694151
test_mnist_2lavels_3_v2,10.241768836975098,mnist,0.9848714069591528,"[8, 9]",25.0,0.619152797899547,0.00024968784288843267,0.6944075644503508,0.004165044248545185,0.6196915669039622,0.0008220815755240541,0.695654827989433,0.008911482322840203
test_mnist_5labels_1_v2,40.93679451942444,mnist,0.9882257409663012,"[0, 2, 4, 6, 8]",50.0,0.8352646669806042,9.772146969725725e-05,0.8387694661303204,0.00029071233772725755,0.8363069376296982,0.00105931476351837,0.8398220840774336,0.0021004982416539153
test_mnist_5labels_2_v2,41.57949686050415,mnist,0.9862041781631848,"[1, 3, 5, 7, 9]",50.0,0.8215484984350212,0.00024968784288843267,0.8255468063822669,0.0003842240846055061,0.8225032496633048,0.0018504070195423021,0.8261633750265983,0.003232283978181381
test_mnist_5labels_3_v2,41.62220001220703,mnist,0.9947460595446584,"[0, 1, 2, 3, 4]",50.0,0.8545535925152419,0.0001259215613694151,0.8572499749123624,0.0001622595287078087,0.8536722393336735,0.0012975171686575868,0.8573934142646846,0.0015494950393146315
test_mnist_8labels_1_v2,92.83906102180481,mnist,0.9821179454660748,"[2, 3, 4, 5, 6, 7, 8, 9]",75.0,0.8998069866763528,0.0003300034791125282,0.896361161741361,0.0003300034791125282,0.9009650063210027,0.0018979216428390996,0.8963848574095753,0.002154434690031882
test_mnist_8labels_2_v2,93.7325348854065,mnist,0.9837531486146096,"[0, 1, 3, 4, 5, 6, 8, 9]",75.0,0.8693733050040207,3.9227767589277156e-05,0.8654742437045125,4.1268208457029516e-05,0.8691772580304986,0.0003300034791125282,0.8642572722222067,0.0004361537789208006
test_mnist_8labels_3_v2,94.59219336509705,mnist,0.9877759760508918,"[0, 1, 2, 3, 4, 5, 6, 7]",75.0,0.9012148184241904,0.0001664260176485902,0.899519772676879,0.0001664260176485902,0.9029208248960091,0.001114415251466788,0.9001746350494136,0.004494202662119142
test_cifar_2labels_1_v1,37.10833287239075,cifar10,0.8445,"[0, 1]",25.0,0.6174375,0.007275483529196233,0.6666666666666666,3.037263579703305,0.6214375000000001,0.01906690840512252,0.6666666666666666,3.037263579703305
test_cifar_2labels_2_v1,15.927685499191284,cifar10,0.7835,"[2, 7]",25.0,0.5676875,0.06773775997517745,0.666722703202488,0.3703126675869931,0.5664375,0.10423606739764033,0.6666666666666666,3.037263579703305
