,Bayesian entropy bal_acc,Bayesian entropy bal_acc_threshold,Bayesian entropy f1_score,Bayesian entropy f1_score_threshold,Bayesian prediction STD bal_acc,Bayesian prediction STD bal_acc_threshold,Bayesian prediction STD f1_score,Bayesian prediction STD f1_score_threshold,Unnamed: 0,Unnamed: 0.1,dataset,inside_labels,nb_epochs,test_acc,train_time
13,0.8259189738070396,0.01767043526088943,0.8279246707913105,0.023354381399064816,0.8254559437564415,0.002209756114795903,0.8280201202652624,0.0027761532944367982,test_mnist_5labels_2_v2,,mnist,"[1, 3, 5, 7, 9]",50.0,0.985218762317698,4408.83509159088
14,0.8501520043209456,0.021643890860640204,0.8547153278564051,0.02520004993764089,0.8507895032599043,0.002847439166467248,0.8557533282933655,0.0035772850993678693,test_mnist_5labels_3_v2,,mnist,"[0, 1, 2, 3, 4]",50.0,0.9926055652850748,4410.817697763443
15,0.8762296566132388,0.029340497092157813,0.8732235464872751,0.05817880074344935,0.8730912383765704,0.005504789807854967,0.8720802763045145,0.005504789807854967,test_mnist_8labels_1_v2,,mnist,"[2, 3, 4, 5, 6, 7, 8, 9]",75.0,0.9821179454660748,10545.030693769455
16,0.876716398285653,0.023354381399064816,0.8745470004337058,0.02719157943036019,0.8769264141861698,0.001114415251466788,0.8738220061295556,0.002638890814457508,test_mnist_8labels_2_v2,,mnist,"[0, 1, 3, 4, 5, 6, 8, 9]",75.0,0.983501259445844,10458.417924642563
17,0.8897135527206665,0.030093900344497243,0.8873283964011635,0.030093900344497243,0.8880665504220837,0.0024456166834524442,0.8850386639405102,0.0024456166834524442,test_mnist_8labels_3_v2,,mnist,"[0, 1, 2, 3, 4, 5, 6, 7]",75.0,0.9869028314830984,10619.67076587677
test_cifar_2labels_1_v1,0.6558125,0.11832406274583804,0.6711702761772302,0.5844761131633626,0.6530625,0.04184288507901576,0.6671672924488944,0.28018665564591894,,,cifar10,"[0, 1]",25.0,0.856,1985.2073979377747
test_cifar_2labels_2_v1,0.5787500000000001,0.10162650893929931,0.6666666666666666,3.037263579703305,0.58025,0.026510836019085417,0.6666666666666666,3.037263579703305,,,cifar10,"[2, 7]",25.0,0.77,1977.5560414791107
test_cifar_2lavels_3_v1,0.5860000000000001,0.1775208011717636,0.6666666666666666,3.037263579703305,0.586875,0.07309099328602918,0.6670854797503875,0.26633327251749805,,,cifar10,"[8, 9]",25.0,0.8195,1999.0191152095795
test_cifar_5labels_1_v1,0.5787,0.7724811451403416,0.6675179783587607,1.5317404637020797,0.598,0.10162650893929931,0.6746565331774333,0.12136237983442417,,,cifar10,"[0, 2, 4, 6, 8]",50.0,0.638,10132.491300106049
test_cifar_5labels_2_v1,0.6267,0.8549327066268367,0.6668984217478969,1.4195547660500987,0.5915,0.06947712548460226,0.6667111229661243,0.160400310705682,,,cifar10,"[1, 3, 5, 7, 9]",50.0,0.6106,10149.812099456787
test_cifar_5labels_3_v1,0.5489,0.9954008287621539,0.6669849280501944,1.4560059950206514,0.5537000000000001,0.09660174799522646,0.6671164485224667,0.14130259905995338,,,cifar10,"[0, 1, 2, 3, 4]",50.0,0.655,10136.322040319443
test_cifar_8labels_1_v1,0.5049374999999999,1.8761746914391233,0.6667222476968611,2.024446509976802,0.562625,0.07689283720758305,0.6684833517840415,0.09660174799522646,,,cifar10,"[2, 3, 4, 5, 6, 7, 8, 9]",75.0,0.559375,24282.46447110176
test_cifar_8labels_2_v1,0.5909375,1.0471768194855202,0.6666666666666667,2.024446509976802,0.56725,0.0596727119597331,0.6668338138815761,0.11247371783647508,,,cifar10,"[0, 1, 3, 4, 5, 6, 8, 9]",75.0,0.600375,24348.674604177475
test_cifar_8labels_3_v1,0.5550625,1.6527920614648972,0.6738344936987749,1.8292045048462902,0.5946875,0.07496781874966876,0.6727598566308244,0.08952657125996383,,,cifar10,"[0, 1, 2, 3, 4, 5, 6, 7]",75.0,0.55825,24356.69350004196
test_cifar_2labels_1_v2,0.6575625,0.18207916800994625,0.6689689195855945,0.5555776222398878,0.6514375,0.030866649433372743,0.6667222268522377,0.32622220097116733,,,cifar10,"[0, 1]",25.0,0.86,1984.6474285125732
test_cifar_2labels_2_v2,0.567,0.09908228099003788,0.6666666666666666,3.037263579703305,0.5649375,0.05391774640387494,0.6666666666666666,3.037263579703305,,,cifar10,"[2, 7]",25.0,0.786,1983.0992529392242
test_cifar_2lavels_3_v2,0.571625,0.14493095741262152,0.6666666666666666,3.037263579703305,0.568375,0.05125186927053333,0.6669167604518361,0.3100926635931924,,,cifar10,"[8, 9]",25.0,0.847,1972.9882872104645
test_cifar_5labels_1_v2,0.5631,1.1016459496336546,0.6684827022609643,1.4933932161242534,0.5943,0.10162650893929931,0.6727473742399116,0.1309535020482665,,,cifar10,"[0, 2, 4, 6, 8]",50.0,0.6362,10147.694511890411
test_cifar_5labels_2_v2,0.6305000000000001,0.8126619200091946,0.6678936605316973,1.4560059950206514,0.5952,0.06947712548460226,0.6667111229661242,0.16451905877536607,,,cifar10,"[1, 3, 5, 7, 9]",50.0,0.6196,10137.800068616867
test_cifar_5labels_3_v2,0.5454,0.7531420165974361,0.6667556029882604,1.5710723892474487,0.5492,0.08952657125996383,0.6668000533546753,0.16874356777273722,,,cifar10,"[0, 1, 2, 3, 4]",50.0,0.64,9867.495082139969
test_cifar_8labels_1_v2,0.503875,1.9243509752303323,0.6667782426778243,1.9737643263002553,0.5584374999999999,0.07496781874966876,0.6685210941121928,0.10423606739764033,,,cifar10,"[2, 3, 4, 5, 6, 7, 8, 9]",75.0,0.565875,24164.868732452393
test_cifar_8labels_2_v2,0.6220625,0.9954008287621539,0.6667222337987081,2.024446509976802,0.5983750000000001,0.0596727119597331,0.6666666666666666,3.037263579703305,,,cifar10,"[0, 1, 3, 4, 5, 6, 8, 9]",75.0,0.57325,24513.042827129364
