inside,outside,bayesian_in_entropy_acc,mlp_dropout_in_entropy_acc,mlp_deterministic_in_entropy_acc,poor_bayesian_in_entropy_acc,bayesian_out_entropy_acc,mlp_dropout_out_entropy_acc,mlp_deterministic_out_entropy_acc,poor_bayesian_out_entropy_acc,bayesian_in_entropy_auc,mlp_dropout_in_entropy_auc,mlp_deterministic_in_entropy_auc,poor_bayesian_in_entropy_auc,bayesian_out_entropy_auc,mlp_dropout_out_entropy_auc,mlp_deterministic_out_entropy_auc,poor_bayesian_out_entropy_auc
"[1, 6, 8, 9]","[3, 4]",0.8209638938913099,0.8447470372651363,0.8422204231993479,0.8263716274633371,0.7175800597382279,0.7412985073336381,0.732578003965508,0.7305044161065801,0.8764710954728919,0.9125196108625834,0.907775868202358,0.8801922717269806,0.7680174098037592,0.7943952366880742,0.7860296927885271,0.7829112245431079
"[2, 3, 6, 8]","[0, 5]",0.8448105363126288,0.8684842214971682,0.871526663073288,0.8531553738190608,0.8646520364918898,0.8780245584940097,0.8784323352773121,0.8637463439955756,0.9087160347425979,0.9293071874583282,0.9317258133573573,0.9183138785188302,0.9296939495260358,0.9374625585483947,0.9396220574966619,0.9301286883439192
"[2, 3, 7, 8]","[0, 9]",0.8602817980144425,0.8714336452096353,0.8734785289180481,0.8637048252226371,0.8083636753262825,0.8067629654245637,0.7949966879815022,0.7838781669662694,0.9299237668895657,0.9395399658458244,0.9403745277869827,0.9335502481692227,0.8779490951188054,0.8829119289529319,0.8679258120343477,0.8546317372194657
"[2, 4, 7, 8]","[3, 6]",0.8793949993772413,0.8898970829580354,0.8924704233575378,0.8864793984253851,0.7755785857637507,0.7966781071323137,0.7974284307949828,0.7929554659272117,0.9451655529277314,0.9555038788240134,0.955950548321323,0.950936666679894,0.8465360420866336,0.8756287515938901,0.875370033808987,0.8676288372406787
"[2, 5, 7, 9]","[0, 8]",0.8370541135009718,0.8363931239571003,0.8464789987136694,0.8370355893769027,0.8363402609313892,0.8368248259834373,0.8227413956362585,0.8290848254303554,0.9160784705138668,0.9195180138129709,0.9261039216407299,0.9165015984593152,0.9086284562942382,0.9087271851181414,0.897366922352175,0.9028326262660284
"[2, 6, 7, 8]","[3, 5]",0.8821291951873667,0.8832917229406374,0.8868649449987936,0.8711389089261196,0.8584730661076216,0.8587381512271254,0.8503743793213343,0.8583379839970497,0.9436026623794755,0.9456322533034897,0.9493005840386733,0.937237998891109,0.9236905475995015,0.924987680345266,0.9156498477552604,0.9250054033216619
"[3, 4, 7, 8]","[2, 9]",0.8433201427774452,0.8577326410823698,0.8613580853509957,0.8536640563189232,0.7941153908220321,0.811753727486327,0.8039197545021807,0.7982857893740318,0.917403301252846,0.9334093826742637,0.932957349012169,0.9244916344672536,0.862738717155178,0.8806675650297641,0.8740158051284578,0.8648681302744364
"[3, 4, 8, 9]","[0, 7]",0.7986443735275355,0.8291805769881281,0.8287880734464594,0.8253893433952312,0.7448274876092392,0.7980263753462252,0.7863250862575016,0.7519286987936002,0.8675577120090768,0.9006046315736737,0.9016531627376104,0.88983261390662,0.8029789954538078,0.8620261373439613,0.8507720072292339,0.8098488864673147
"[3, 5, 7, 8]","[2, 4]",0.8861590230737105,0.9048116593857606,0.900694763233134,0.8959813431974465,0.8095502191713022,0.8376310234639033,0.8345625770550517,0.8108337233934041,0.9481329885569861,0.962981074616536,0.9602235980199625,0.9559391716733198,0.8754414706843051,0.904150284602801,0.9013801846973116,0.8791874663657319
"[4, 6, 8, 9]","[1, 2]",0.8171248934720449,0.8136759911401489,0.8219686388023302,0.8291580782592419,0.7501912700251193,0.7476433383489147,0.7446768747889001,0.7411879778299243,0.8774360075963578,0.8723051520977453,0.8825307567085839,0.8893449217122708,0.8096918211809211,0.8051618659189396,0.8090163720676734,0.8076260643126129
